(17, 19), 506.264566332	
(18, 18), 504.32497077	
(18, 29), 496.057051254	
(19, 17), 498.62035046	
(19, 28), 500.718791064	
(19, 39), 495.739209191	
(28, 19), 512.939767461	
(29, 18), 498.858355109	
(29, 29), 495.339156315	
(39, 19), 490.21941673	
(4, 19), 504.902597893	
(5, 18), 496.567013106	
(5, 29), 492.438621023	
(6, 17), 497.98431946	
(6, 28), 489.550449207	
(6, 39), 499.645042743	
(7, 16), 496.581915633	
(7, 27), 505.36490642	
(7, 38), 497.233592542	
(7, 49), 481.211686772	
(8, 15), 502.377593023	
(8, 26), 497.306662549	
(8, 37), 479.037281118	
(8, 48), 491.781777563	
(9, 14), 489.289351179	
(9, 25), 486.42308084	
(9, 36), 496.381822906	
(9, 47), 496.409754966	
(16, 19), 491.267130149	
(17, 18), 499.937514778	
(17, 29), 500.155107881	
(18, 17), 491.088181664	
(18, 28), 493.397110439	
(18, 39), 496.852793873	
(19, 16), 492.798057528	
(19, 27), 504.503485784	
(19, 38), 499.135553867	
(19, 49), 491.683811289	
(27, 19), 493.363423639	
(28, 18), 512.378355746	
(28, 29), 510.718389164	
(29, 17), 495.391358211	
(29, 28), 497.957799196	
(29, 39), 499.808480735	
(3, 19), 495.038410479	
(38, 19), 513.827084407	
(39, 18), 493.983136786	
(39, 29), 489.324744555	
(4, 18), 505.741967266	
(4, 29), 507.569022441	
(49, 19), 497.968278812	
(5, 17), 494.829116527	
(5, 28), 491.884444025	
(5, 39), 495.868413739	
(6, 16), 496.108387749	
(6, 27), 506.28897604	
(6, 38), 506.43566084	
(6, 49), 485.415891924	
(7, 15), 492.659941264	
(7, 26), 492.817465048	
(7, 37), 482.608884568	
(7, 48), 484.803334968	
(8, 14), 493.519733399	
(8, 25), 496.22793353	
(8, 36), 504.94728985	
(8, 47), 509.661310363	
(9, 13), 478.671238785	
(9, 24), 500.563076617	
(9, 35), 492.194923385	
(9, 46), 504.104720705	
(15, 19), 513.016908916	
(16, 18), 499.828052247	
(16, 29), 489.267883648	
(17, 17), 495.603742193	
(17, 28), 494.686026557	
(17, 39), 500.363563861	
(18, 16), 496.696569014	
(18, 27), 505.075104112	
(18, 38), 499.466299793	
(18, 49), 480.250732784	
(19, 15), 497.776173619	
(19, 26), 492.098344513	
(19, 37), 483.442746988	
(19, 48), 479.750025023	
(2, 19), 507.358847232	
(26, 19), 505.210866831	
(27, 18), 500.32931656	
(27, 29), 497.585559766	
(28, 17), 495.762630512	
(28, 28), 505.192043708	
(28, 39), 503.815724858	
(29, 16), 492.789506168	
(29, 27), 508.776321231	
(29, 38), 498.006109739	
(29, 49), 484.663730965	
(3, 18), 497.268855033	
(3, 29), 486.090627125	
(37, 19), 509.727696545	
(38, 18), 512.067674521	
(38, 29), 505.99325117	
(39, 17), 491.147358764	
(39, 28), 486.582410786	
(39, 39), 494.695346036	
(4, 17), 494.460474262	
(4, 28), 499.444029362	
(4, 39), 505.694168272	
(48, 19), 494.891309329	
(49, 18), 504.209911124	
(49, 29), 503.48027664	
(5, 16), 489.673299597	
(5, 27), 499.039710349	
(5, 38), 502.097980846	
(5, 49), 481.221570783	
(6, 15), 494.164634343	
(6, 26), 489.867870275	
(6, 37), 481.854163632	
(6, 48), 491.424555462	
(7, 14), 497.872285854	
(7, 25), 489.986412808	
(7, 36), 502.156388916	
(7, 47), 503.647127294	
(8, 13), 496.285953055	
(8, 24), 514.644827857	
(8, 35), 504.833642068	
(8, 46), 516.273422184	
(9, 12), 479.29242613	
(9, 23), 489.001088013	
(9, 34), 495.767091007	
(9, 45), 483.409504623	
(1, 19), 515.042608921	
(14, 19), 508.713388846	
(15, 18), 511.78223411	
(15, 29), 505.092926182	
(16, 17), 486.70446034	
(16, 28), 493.355299655	
(16, 39), 496.792526658	
(17, 16), 498.654102692	
(17, 27), 518.19512302	
(17, 38), 496.058347931	
(17, 49), 484.791011643	
(18, 15), 485.605842332	
(18, 26), 493.627896479	
(18, 37), 474.234355594	
(18, 48), 481.801580467	
(19, 14), 493.80736845	
(19, 25), 485.62335109	
(19, 36), 497.035575897	
(19, 47), 500.516575348	
(2, 18), 510.423371574	
(2, 29), 506.319761419	
(25, 19), 500.924309345	
(26, 18), 501.957331275	
(26, 29), 502.546608198	
(27, 17), 496.120288865	
(27, 28), 492.655220191	
(27, 39), 498.579310487	
(28, 16), 510.974831568	
(28, 27), 512.886610943	
(28, 38), 505.195790876	
(28, 49), 491.902575298	
(29, 15), 494.001765399	
(29, 26), 488.405718684	
(29, 37), 477.683138257	
(29, 48), 489.534094483	
(3, 17), 490.055177109	
(3, 28), 490.482851256	
(3, 39), 490.085717129	
(36, 19), 498.228946511	
(37, 18), 508.069441944	
(37, 29), 505.975627548	
(38, 17), 499.937975672	
(38, 28), 514.264591667	
(38, 39), 502.794411533	
(39, 16), 491.000419923	
(39, 27), 505.171363993	
(39, 38), 500.213104356	
(39, 49), 484.020114056	
(4, 16), 504.0889962	
(4, 27), 511.513574937	
(4, 38), 507.991395852	
(4, 49), 490.616165494	
(47, 19), 496.183683386	
(48, 18), 505.069856936	
(48, 29), 498.937871732	
(49, 17), 485.301734435	
(49, 28), 491.715523586	
(49, 39), 500.725657598	
(5, 15), 492.275187765	
(5, 26), 489.165570434	
(5, 37), 480.360783503	
(5, 48), 483.767443237	
(6, 14), 498.990386162	
(6, 25), 486.990471792	
(6, 36), 499.139816919	
(6, 47), 513.948177326	
(7, 13), 495.410436049	
(7, 24), 508.076719357	
(7, 35), 498.861519357	
(7, 46), 500.69735663	
(8, 12), 486.400064811	
(8, 23), 501.040898516	
(8, 34), 511.745818475	
(8, 45), 490.936882122	
(9, 11), 510.009832342	
(9, 22), 494.728086826	
(9, 33), 486.998442792	
(9, 44), 487.213749407	
(0, 19), 516.806648198	
(1, 18), 521.838477585	
(1, 29), 512.058090776	
(13, 19), 518.962028507	
(14, 18), 508.397994804	
(14, 29), 517.085017821	
(15, 17), 502.184400782	
(15, 28), 504.346936389	
(15, 39), 511.579426589	
(16, 16), 492.668829387	
(16, 27), 501.281913865	
(16, 38), 495.143238613	
(16, 49), 482.661879594	
(17, 15), 497.584858246	
(17, 26), 493.540614451	
(17, 37), 482.590334254	
(17, 48), 486.305206071	
(18, 14), 494.844950663	
(18, 25), 491.172834513	
(18, 36), 492.557913113	
(18, 47), 510.011518644	
(19, 13), 497.338796892	
(19, 24), 510.007126604	
(19, 35), 501.181043561	
(19, 46), 510.946385581	
(2, 17), 502.89114839	
