24	5580
25	25
26	68
27	490
20	61910
21	128065
23	1097
28	1
29	3
4	86
8	249
59	30
58	4
55	36
54	1
56	165
51	6238
50	9331
53	2993
52	115
88	14
89	321
82	3403
83	733
80	574
81	8
86	6
84	6539
85	2248
3	92
7	37584
39	796
38	112436
32	27
31	15215
30	47
37	69633
36	140816
35	314
34	1
60	508
61	1036
62	511
63	37
64	1113
65	22
66	2390
67	3478
68	1348
69	22389
2	5
6	23
99	333
98	3918
91	199
90	6
92	4
95	16
94	113
97	10
96	8
11	337
10	3930
13	2264
12	1
15	3
14	82757
17	7927
16	18969
19	27170
18	1382
48	6399
49	120
46	56388
47	11264
44	1
45	2606
42	8538
43	44
40	44938
41	401
1	159
5	10941
9	733
77	1620
76	4
75	726
74	9956
73	509
72	2253
71	39175
70	22262
79	242
78	5237
